x, y
autogen1:Match763, ""2011-06-05T00:00:00"^^xsd:dateTime"
autogen1:Match768, ""2011-06-05T00:00:00"^^xsd:dateTime"
autogen1:Match932, ""2011-07-08T00:00:00"^^xsd:dateTime"
autogen1:Match881, ""2011-10-08T00:00:00"^^xsd:dateTime"
autogen1:Match959, ""2011-10-08T00:00:00"^^xsd:dateTime"
autogen1:Match92, ""2011-11-03T00:00:00"^^xsd:dateTime"
autogen1:Match879, ""2011-11-05T00:00:00"^^xsd:dateTime"
autogen1:Match636, ""2011-12-17T00:00:00"^^xsd:dateTime"
autogen1:Match878, ""2012-01-14T00:00:00"^^xsd:dateTime"
autogen1:Match938, ""2012-01-14T00:00:00"^^xsd:dateTime"
autogen1:Match964, ""2012-01-14T00:00:00"^^xsd:dateTime"
autogen1:Match183, ""2012-01-21T00:00:00"^^xsd:dateTime"
autogen1:Match184, ""2012-01-21T00:00:00"^^xsd:dateTime"
autogen1:Match185, ""2012-01-21T00:00:00"^^xsd:dateTime"
autogen1:Match186, ""2012-01-21T00:00:00"^^xsd:dateTime"
autogen1:Match187, ""2012-01-21T00:00:00"^^xsd:dateTime"
autogen1:Match50, ""2012-02-24T00:00:00"^^xsd:dateTime"
autogen1:Match67, ""2012-02-24T00:00:00"^^xsd:dateTime"
autogen1:Match885, ""2012-03-03T00:00:00"^^xsd:dateTime"
autogen1:Match918, ""2012-03-03T00:00:00"^^xsd:dateTime"
autogen1:Match825, ""2012-03-06T00:00:00"^^xsd:dateTime"
autogen1:Match49, ""2012-03-30T00:00:00"^^xsd:dateTime"
autogen1:Match558, ""2012-03-30T00:00:00"^^xsd:dateTime"
autogen1:Match875, ""2012-05-05T00:00:00"^^xsd:dateTime"
autogen1:Match877, ""2012-05-05T00:00:00"^^xsd:dateTime"
autogen1:Match909, ""2012-05-05T00:00:00"^^xsd:dateTime"
autogen1:Match957, ""2012-05-05T00:00:00"^^xsd:dateTime"
autogen1:Match25, ""2012-05-18T00:00:00"^^xsd:dateTime"
autogen1:Match47, ""2012-05-18T00:00:00"^^xsd:dateTime"
autogen1:Match8, ""2012-05-18T00:00:00"^^xsd:dateTime"
autogen1:Match359, ""2012-06-29T00:00:00"^^xsd:dateTime"
autogen1:Match447, ""2012-06-29T00:00:00"^^xsd:dateTime"
autogen1:Match991, ""2012-07-10T00:00:00"^^xsd:dateTime"
autogen1:Match22, ""2012-07-13T00:00:00"^^xsd:dateTime"
autogen1:Match46, ""2012-07-13T00:00:00"^^xsd:dateTime"
autogen1:Match61, ""2012-07-13T00:00:00"^^xsd:dateTime"
autogen1:Match766, ""2012-07-19T00:00:00"^^xsd:dateTime"
autogen1:Match774, ""2012-07-19T00:00:00"^^xsd:dateTime"
autogen1:Match876, ""2012-07-21T00:00:00"^^xsd:dateTime"
autogen1:Match924, ""2012-07-21T00:00:00"^^xsd:dateTime"
autogen1:Match927, ""2012-07-21T00:00:00"^^xsd:dateTime"
autogen1:Match769, ""2012-08-21T00:00:00"^^xsd:dateTime"
autogen1:Match12, ""2012-09-14T00:00:00"^^xsd:dateTime"
autogen1:Match28, ""2012-09-14T00:00:00"^^xsd:dateTime"
autogen1:Match45, ""2012-09-14T00:00:00"^^xsd:dateTime"
autogen1:Match66, ""2012-09-14T00:00:00"^^xsd:dateTime"
autogen1:Match980, ""2012-10-09T00:00:00"^^xsd:dateTime"
autogen1:Match625, ""2012-10-27T00:00:00"^^xsd:dateTime"
autogen1:Match21, ""2012-11-09T00:00:00"^^xsd:dateTime"
autogen1:Match44, ""2012-11-09T00:00:00"^^xsd:dateTime"
autogen1:Match55, ""2012-11-09T00:00:00"^^xsd:dateTime"
autogen1:Match60, ""2012-11-09T00:00:00"^^xsd:dateTime"
autogen1:Match65, ""2012-11-09T00:00:00"^^xsd:dateTime"
autogen1:Match758, ""2012-11-13T00:00:00"^^xsd:dateTime"
autogen1:Match336, ""2012-11-16T00:00:00"^^xsd:dateTime"
autogen1:Match658, ""2012-12-15T00:00:00"^^xsd:dateTime"
autogen1:Match43, ""2012-12-21T00:00:00"^^xsd:dateTime"
autogen1:Match52, ""2012-12-21T00:00:00"^^xsd:dateTime"
autogen1:Match64, ""2012-12-21T00:00:00"^^xsd:dateTime"
autogen1:Match74, ""2012-12-21T00:00:00"^^xsd:dateTime"
autogen1:Match972, ""2013-03-29T00:00:00"^^xsd:dateTime"
autogen1:Match754, ""2013-05-17T00:00:00"^^xsd:dateTime"
autogen1:Match755, ""2013-05-17T00:00:00"^^xsd:dateTime"
autogen1:Match756, ""2013-05-17T00:00:00"^^xsd:dateTime"
autogen1:Match759, ""2013-05-17T00:00:00"^^xsd:dateTime"
autogen1:Match760, ""2013-05-17T00:00:00"^^xsd:dateTime"
autogen1:Match761, ""2013-05-17T00:00:00"^^xsd:dateTime"
autogen1:Match762, ""2013-05-17T00:00:00"^^xsd:dateTime"
autogen1:Match764, ""2013-05-17T00:00:00"^^xsd:dateTime"
autogen1:Match765, ""2013-05-17T00:00:00"^^xsd:dateTime"
autogen1:Match772, ""2013-05-17T00:00:00"^^xsd:dateTime"
autogen1:Match225, ""2013-06-07T00:00:00"^^xsd:dateTime"
autogen1:Match142, ""2013-06-21T00:00:00"^^xsd:dateTime"
autogen1:Match146, ""2013-06-21T00:00:00"^^xsd:dateTime"
autogen1:Match153, ""2013-06-21T00:00:00"^^xsd:dateTime"
autogen1:Match154, ""2013-06-21T00:00:00"^^xsd:dateTime"
autogen1:Match155, ""2013-06-21T00:00:00"^^xsd:dateTime"
autogen1:Match24, ""2013-08-30T00:00:00"^^xsd:dateTime"
autogen1:Match78, ""2013-08-30T00:00:00"^^xsd:dateTime"
